Column,Spearman Correlation,Spearman p-value,Pearson Correlation,Pearson p-value
rna_NFKBIB,-0.090808049,0.002792104,-0.086904011,0.004226938
rna_NFYB,0.066113056,0.029662108,0.060843917,0.045400329
rna_NGEF,-0.102305755,0.000751196,-0.093474117,0.002084628
rna_NKX2-6,-0.075365425,0.013148757,-0.064701645,0.033332861
rna_NLRP12,-0.077900054,0.010366433,-0.067098678,0.02730953
rna_NMT2,0.069852549,0.021569478,0.079085437,0.009255
rna_NOC4L,-0.079268911,0.009092808,-0.068078038,0.025132948
rna_NOD1,0.083997672,0.005697632,0.089508159,0.003211079
rna_NOMO2,-0.064579461,0.033668147,-0.06023532,0.047605263
rna_NOSIP,-0.103391883,0.000658861,-0.083928762,0.005737511
rna_NOV,0.06652415,0.028660512,0.061620206,0.042713177
rna_NPEPL1,-0.076845669,0.0114531,-0.066434892,0.028875474
rna_NPHP4,-0.07074334,0.019952415,-0.072418407,0.017196017
rna_NPM1,0.061739626,0.042311962,0.071938241,0.017949829
rna_NR4A1,0.117446611,0.000107855,0.084146268,0.005612489
rna_NR4A3,0.165902186,4.04E-08,0.076770333,0.011534475
rna_NSUN6,0.09335425,0.002112529,0.067299234,0.02685103
rna_NT5C3,0.086048689,0.004619295,0.070998773,0.019508671
rna_NTHL1,-0.080247356,0.008269913,-0.060908551,0.045171294
rna_NTRK3,0.151615979,5.43E-07,0.109119213,0.000323228
rna_NUDT22,-0.090491248,0.002889344,-0.075045726,0.013542842
rna_NUDT9P1,0.09819597,0.001220178,0.077939547,0.010327573
rna_NUP35,0.061937954,0.041652675,0.079068694,0.009269929
rna_NUP85,-0.061351988,0.043626026,-0.060594449,0.046293523
rna_NXT2,0.097561683,0.00131297,0.092158476,0.002410186
rna_OBSL1,-0.076792662,0.011510303,-0.075721698,0.012721549
rna_ODF2L,0.095349923,0.001689771,0.089352857,0.003264787
rna_ODZ4,-0.07414666,0.014707501,-0.067438871,0.026535732
rna_OFD1,0.083679796,0.00588369,0.064447617,0.034033169
rna_OGFOD2,-0.103468157,0.00065279,-0.109803186,0.000296187
rna_OLA1,0.061942995,0.041636034,0.105393071,0.000515745
rna_OPLAH,-0.08018829,0.008317634,-0.063985256,0.035340075
rna_OR2A4,0.086560975,0.00438052,0.06838315,0.024486234
rna_OR2AK2,0.063961511,0.035408333,0.071452186,0.01874217
rna_OR2L13,0.116508799,0.000122498,0.074057003,0.014828343
rna_OR51E1,-0.076273298,0.012084309,-0.06074754,0.045743662
rna_OR52N1,0.109910471,0.000292143,0.079840353,0.008603768
rna_OR52N4,0.102236128,0.000757506,0.068068597,0.025153191
rna_OR56B4,-0.073127047,0.016134207,-0.084525664,0.005400275
rna_OR5P2,0.095421811,0.001676104,0.075886362,0.01252828
rna_OR7C1,0.073882742,0.015065717,0.062230824,0.040695009
rna_OR8D2,-0.090179576,0.002988013,0.068260847,0.024743715
rna_OR9A4,0.070860155,0.0197484,0.079152237,0.009195653
rna_OS9,-0.137998202,5.22E-06,-0.067114602,0.027272881
rna_OSBPL10,-0.096346974,0.001509059,-0.112350993,0.000212976
rna_OSBPL1A,0.096333683,0.001511346,0.0769587,0.011331964
rna_OSBPL2,-0.087146442,0.004121357,-0.07715879,0.011120307
rna_OSBPL5,-0.082011962,0.006952475,-0.071385902,0.018852555
rna_OSBPL9,0.071504385,0.018655638,0.064748127,0.033206058
rna_OSCAR,-0.071494903,0.018671329,-0.067840239,0.025647174
rna_OTUD4,0.106621961,0.000442806,0.064302603,0.034438551
rna_P4HA2,-0.125149741,3.66E-05,-0.062170046,0.040892202
rna_P4HB,-0.086705992,0.004314988,-0.061063519,0.044626111
rna_PACS2,-0.0644454,0.034039337,-0.06190707,0.041754768
rna_PACSIN2,-0.089687197,0.003150161,-0.064796346,0.033074955
rna_PAEP,-0.06506435,0.03235431,0.077341528,0.010930077
rna_PAF1,-0.098439795,0.001186147,-0.070861978,0.019745231
rna_PAK4,-0.111516527,0.000237451,-0.080661822,0.007941879
rna_PAK6,-0.068351715,0.024552191,-0.062878897,0.03864193
rna_PAK7,0.143181006,2.26E-06,0.068372154,0.024509288
rna_PALM2-AKAP2,0.093663607,0.002041209,0.06394589,0.035453297
rna_PAN3,0.111333905,0.000243147,0.064892649,0.032814439
rna_PANK4,-0.079767818,0.008664514,-0.084788383,0.005257593
rna_PAPLN,0.11623449,0.000127123,0.064354887,0.034291922
rna_PAPOLG,0.098001819,0.001247918,0.090026971,0.003037436
rna_PAQR3,0.071206837,0.019153604,0.065768577,0.030524407
rna_PARP10,-0.061633859,0.042667143,-0.05993251,0.048735406
rna_PCDH1,-0.071503122,0.018657728,-0.080255772,0.008263134
rna_PCGF5,0.125931718,3.27E-05,0.103204563,0.000673993
rna_PCMT1,-0.085187775,0.005047191,-0.070232515,0.020866288
rna_PCNP,0.075485051,0.013003921,0.074138892,0.014717937
rna_PCNXL3,-0.10612304,0.000471175,-0.113071562,0.000193766
rna_PDE4B,0.073299723,0.015884362,0.11356423,0.00018158
rna_PDE5A,0.095799261,0.001606001,0.074877418,0.013754469
rna_PDF,-0.072395116,0.017231932,-0.081333838,0.007434681
rna_PDLIM2,-0.072337324,0.01732133,-0.086564009,0.00437914
rna_PDRG1,-0.062407113,0.040127589,-0.072754074,0.016685663
rna_PDZD7,-0.117320215,0.000109728,-0.07897285,0.009355799
rna_PELI1,0.115759105,0.000135529,0.075149571,0.013413708
rna_PELO,-0.145862543,1.45E-06,-0.144293829,1.88E-06
rna_PFKFB4,-0.078630515,0.009668325,-0.070782106,0.019884509
rna_PFKL,-0.10957153,0.000305099,-0.094263544,0.00190915
rna_PGAM1,-0.129685145,1.88E-05,-0.099084719,0.001100311
rna_PGAM4,-0.072250805,0.017455925,-0.083893489,0.00575802
rna_PGK1,-0.12038806,7.19E-05,-0.099859395,0.001004799
rna_PHF16,0.083267982,0.006132856,0.086480277,0.004417376
rna_PHF21A,0.090791305,0.002797167,0.079178629,0.009172299
rna_PHKA2,-0.07123197,0.019111099,-0.074378229,0.014399391
rna_PHLDB3,-0.076667557,0.011646315,-0.072695069,0.016774401
rna_PHRF1,-0.082650074,0.00652454,-0.064345237,0.034318945
rna_PHYHIPL,0.095610988,0.001640625,0.117818294,0.000102522
rna_PI4KA,-0.089322408,0.003275412,-0.110529515,0.000269797
rna_PI4KAP2,-0.066125215,0.029632057,-0.069401475,0.022430931
rna_PIBF1,0.069627837,0.021994965,0.065612498,0.030922128
rna_PIGK,0.060030098,0.048368756,0.08101235,0.007673585
rna_PIGO,-0.085823566,0.004727899,-0.07054547,0.020302182
rna_PIGS,-0.104154138,0.000600478,-0.093174642,0.002154976
rna_PIGT,-0.097683355,0.001294681,-0.068331019,0.024595699
rna_PIGY,0.080628598,0.007967739,0.077256568,0.011018159
rna_PIH1D1,-0.075960402,0.012442227,-0.072689965,0.016782096
rna_PIM1,0.123235779,4.81E-05,0.074476011,0.014271004
rna_PIN1,-0.076958679,0.011331985,-0.081595901,0.007244889
rna_PITPNM1,-0.102367459,0.000745644,-0.080530751,0.008044336
rna_PJA1,-0.075408909,0.013095946,-0.061732709,0.042335114
rna_PKDCC,0.065419764,0.031419376,0.0856036,0.004836238
rna_PKHD1L1,0.082406038,0.006685321,0.07953162,0.008864986
rna_PKM2,-0.107839284,0.00038013,-0.081123614,0.007590136
rna_PKN1,-0.069794771,0.02167819,-0.062009283,0.041417696
rna_PKN2,0.100201422,0.00096512,0.082091609,0.006897721
rna_PL-5283,0.127638728,2.54E-05,0.120490708,7.09E-05
rna_PLA2G15,-0.132212697,1.28E-05,-0.105160906,0.000530723
rna_PLA2G4F,-0.068212383,0.024846392,-0.068435811,0.024376083
rna_PLAC8,0.126266015,3.11E-05,0.05990537,0.048837787
rna_PLCXD1,-0.0646713,0.033415863,-0.079198762,0.009154519
rna_PLD3,-0.088749899,0.003481142,-0.067614142,0.026144497
rna_PLEKHA1,0.077876389,0.010389781,0.063657586,0.036291952
rna_PLLP,0.10644769,0.000452529,0.073202566,0.016024517
rna_PLP1,0.082221392,0.006809328,0.061436145,0.043337854
rna_PLXNA1,-0.083280191,0.006125335,-0.073546906,0.015532628
rna_PLXNB2,-0.122936873,5.02E-05,-0.111664741,0.00023292
rna_PLXNB3,-0.097741547,0.001286017,-0.066623882,0.028421954
rna_PLXND1,-0.062713235,0.039158196,-0.090097017,0.00301466
rna_PMAIP1,0.110766738,0.000261667,0.062205179,0.040778114
rna_PMM1,-0.090156191,0.002995539,-0.06024998,0.047551112
rna_PMPCA,-0.068743554,0.023740918,-0.063299351,0.037357502
rna_PMPCB,0.079880013,0.008570715,0.06780564,0.025722744
rna_PMS2L1,0.08072987,0.007889148,0.079418508,0.008962445
rna_PNPLA6,-0.085750292,0.004763742,-0.074788841,0.013867012
rna_PNPLA8,0.088092007,0.003732008,0.061098838,0.044502637
rna_PNRC1,0.106767381,0.000434842,0.112482384,0.000209345
rna_PNRC2,0.100681702,0.000911844,0.104280534,0.000591275
rna_POFUT2,-0.066487308,0.028749071,-0.071447833,0.0187494
rna_POLI,0.093231786,0.002141387,0.061410183,0.043426582
rna_POLR1B,0.062205173,0.040778135,0.060390778,0.047033662
rna_POLR1E,0.080344413,0.008192029,0.098392185,0.001192723
rna_POLR2E,-0.075217484,0.013329843,-0.065920502,0.030141494
rna_POLRMT,-0.066188771,0.029475407,-0.062006654,0.041426339
rna_POM121L10P,-0.067193097,0.02709284,-0.06338629,0.037096493
rna_POMT1,-0.081561791,0.007269344,-0.084199669,0.005582172
rna_POT1,0.090988061,0.002738189,0.061318691,0.043740491
rna_POU2F1,0.104125882,0.000602554,0.089969905,0.003056108
rna_PPEF1,-0.082913389,0.00635496,-0.066708897,0.028219948
rna_PPFIA3,-0.067068125,0.027379967,-0.068837797,0.023549294
rna_PPIAL4C,0.071308765,0.018981729,0.105204471,0.000527882
rna_PPIAL4G,0.078940458,0.00938498,0.103126907,0.000680361
rna_PPIG,0.114882442,0.00015242,0.084125767,0.005624167
rna_PPIL2,-0.076622882,0.011695229,-0.067961933,0.025382893
rna_PPM1B,0.08095132,0.007719706,0.073007493,0.016309205
rna_PPP1CB,0.100574971,0.000923442,0.103762499,0.000629846
rna_PPP1R12C,-0.08718356,0.004105404,-0.10222765,0.000758278
rna_PPP1R14D,-0.072515049,0.017047698,-0.060662754,0.046047507
rna_PPP1R16A,-0.093249496,0.002137192,-0.077639326,0.010626254
rna_PPP1R16B,0.084927877,0.005183224,0.104005585,0.000611464
rna_PPP5C,-0.083675943,0.005885978,-0.063113555,0.037920539
rna_PRH1,0.100968736,0.000881317,0.085892579,0.004694363
rna_PRIMA1,0.105962146,0.000480679,0.062490902,0.039860254
rna_PRINS,0.142813792,2.40E-06,0.106886256,0.000428431
rna_PRKAG1,-0.102239445,0.000757205,-0.090716276,0.002819961
rna_PRKAG2,0.159132054,1.43E-07,0.125603633,3.42E-05
rna_PRKRA,0.094147216,0.001934127,0.098771459,0.001141261
rna_PRKX,0.064559548,0.033723063,0.083003666,0.006297739
rna_PRMT6,0.08625637,0.004521112,0.065115072,0.032219444
rna_PRMT7,-0.065726633,0.030630856,-0.068794499,0.023637165
rna_PRO0611,0.082440915,0.006662128,0.061517544,0.043060651
rna_PRO0628,0.125394148,3.53E-05,0.116879286,0.000116503
rna_PRPF31,-0.084117235,0.005629034,-0.08224433,0.006793812
rna_PRPF38B,0.072141279,0.017627622,0.071711237,0.018316155
rna_PRR12,-0.064845535,0.032941669,-0.063200698,0.037655569
rna_PRR25,-0.091213716,0.002671945,-0.066892468,0.027787975
rna_PRR3,0.0797767,0.008657055,0.060135612,0.047974936
rna_PSAP,-0.0896964,0.003147058,-0.076516167,0.011812807
rna_psiTPTE22,0.070303525,0.020737108,0.069392505,0.022448361
rna_PSKH1,-0.098667563,0.001155151,-0.100166793,0.00096907
rna_PSMA7,-0.083202441,0.006173375,-0.06637969,0.029009109
rna_PSMD2,-0.123204245,4.84E-05,-0.075192151,0.013361072
rna_PSMD7,-0.065609235,0.03093049,-0.062684385,0.0392487
rna_PSMG2,0.082182056,0.006836012,0.078267887,0.010009482
rna_PTGER3,0.133698227,1.02E-05,0.09920608,0.001084814
rna_PTMA,0.072948312,0.016396445,0.123964032,4.34E-05
rna_PTPRE,0.08136674,0.00741061,0.063501002,0.036754478
rna_PTPRO,-0.071699631,0.01833506,-0.06840253,0.024445647
rna_PUM2,0.123215737,4.83E-05,0.098799832,0.001137495
rna_PURB,0.082319691,0.006743057,0.069026273,0.023170089
rna_PUS10,0.085665535,0.004805509,0.067730041,0.025888534
rna_PUS3,0.069485934,0.022267397,0.086093477,0.00459796
rna_PUS7,0.094122802,0.001939407,0.105150555,0.0005314
rna_PXDN,-0.060958212,0.044995978,-0.060677059,0.045996127
rna_PXMP2,-0.119577712,8.05E-05,-0.096136634,0.001545633
rna_QSOX1.1,-0.103162819,0.000677409,-0.098593551,0.00116514
rna_R3HCC1,-0.096918157,0.001413721,-0.083840119,0.005789178
rna_R3HDM1,0.063373015,0.037136246,0.08152119,0.007298548
rna_RAB12,0.081721657,0.007155364,0.080966043,0.007708557
rna_RAB17,-0.072031249,0.017801599,-0.064643617,0.033491739
rna_RAB1B,-0.107904494,0.000377019,-0.066580732,0.028524956
rna_RAB2A,-0.08839875,0.003613067,-0.07423746,0.014586003
rna_RAB35,-0.093952017,0.001976713,-0.08137576,0.007404024
rna_RAB5A,0.094580266,0.001842637,0.06559443,0.030968455
rna_RABAC1,-0.113591639,0.000180924,-0.078195495,0.010078856
rna_RABEP2,-0.085753039,0.004762394,-0.076767903,0.011537108
rna_RABGGTA,-0.093214473,0.002145496,-0.069434791,0.0223663
rna_RAI1,-0.091960908,0.002462904,-0.108124291,0.000366704
rna_RAI2,0.077656253,0.010609212,0.071803455,0.018166559
rna_RANGAP1,-0.088559097,0.003552272,-0.062245295,0.040648176
rna_RASGEF1A,0.064516743,0.033841369,0.086119243,0.004585726
rna_RAVER2,0.103562331,0.000645366,0.082298586,0.006757237
rna_RBM11,0.076085969,0.01229748,0.059802488,0.04922753
rna_RBM24,0.090548025,0.002871693,0.070601882,0.020201925
rna_RBM33,0.080802923,0.007832888,0.063730233,0.036079051
rna_RBMS1,0.096106229,0.001550987,0.078734441,0.009572481
rna_RBMXL1,0.078749059,0.009559067,0.08284019,0.0064017
rna_RBP7,0.097053544,0.001391951,0.066289781,0.029227906
rna_RBPJ,0.125338766,3.56E-05,0.099648403,0.001030024
rna_RCAN1,0.108437119,0.000352478,0.059749071,0.049430914
rna_RCL1,0.128197415,2.34E-05,0.111945039,0.000224571
rna_RDBP,-0.080858174,0.007790576,-0.063950074,0.035441247
rna_RDH13,-0.067363366,0.026705822,-0.082435911,0.006665451
rna_RDH14,0.067880314,0.025559882,0.075412021,0.013092173
rna_RECQL5,-0.084550456,0.005386663,-0.09113073,0.002696135
rna_RELL2,-0.075637426,0.012821477,-0.061996933,0.0414583
rna_RGL2,-0.06239781,0.040157363,-0.097429223,0.00133315
rna_RGMA,0.076582676,0.011739405,0.084176609,0.005595245
rna_RGS1,0.149034213,8.47E-07,0.061276652,0.043885365
rna_RGS2,0.16184425,8.66E-08,0.06112762,0.044402227
rna_RHBDD3,-0.111875856,0.000226605,-0.070995414,0.01951445
rna_RHOBTB2,-0.063778354,0.035938614,-0.075540797,0.012936911
rna_RHOT2,-0.076608572,0.011710935,-0.081915416,0.007019369
rna_RILPL2,0.087646667,0.003911021,0.06873799,0.023752273
rna_RIMBP3,-0.126209301,3.14E-05,-0.105936018,0.000482239
rna_RIMBP3C,-0.102958795,0.000694337,-0.089027807,0.003379853
rna_RING1,-0.075166274,0.013393038,-0.064938293,0.032691577
rna_RLN1,0.084757852,0.005273998,0.061204147,0.044136184
rna_RNASE9,-0.063693727,0.036185902,-0.060918089,0.045137578
rna_RNASEH2C,-0.083487779,0.005998712,-0.060589022,0.046313117
rna_RNF121,-0.083723733,0.005857651,-0.075869189,0.012548314
rna_RNF122,0.090152865,0.002996611,0.089060199,0.003368223
rna_RNF138,0.13968634,3.99E-06,0.092800799,0.002245841
rna_RNF138P1,0.151736737,5.32E-07,0.090639816,0.002843364
rna_RNF150,0.097356735,0.001344315,0.068792836,0.023640545
rna_RNF165,0.10317642,0.000676294,0.071671514,0.018380927
rna_RNF180,0.103296641,0.000666515,0.065020525,0.032471225
rna_RNF31,-0.085227184,0.005026848,-0.061221181,0.04407715
rna_RNF32,0.091913834,0.002475619,0.084658973,0.005327445
rna_RNH1,-0.10137048,0.000840177,-0.076847317,0.011451325
rna_RP9,0.063685151,0.036211044,0.074782108,0.013875599
rna_RPA3,-0.093496719,0.002079405,-0.063127184,0.037878993
rna_RPL11,0.087325896,0.004044748,0.09884647,0.001131329
rna_RPL12,0.082901462,0.006362555,0.122511474,5.34E-05
rna_RPL13AP6,-0.132391332,1.25E-05,-0.10508417,0.000535762
rna_RPL14,0.097650395,0.001299612,0.117979572,0.000100286
rna_RPL15,0.081929948,0.007009264,0.097361596,0.001343563
rna_RPL22,0.118803549,8.96E-05,0.10753385,0.000395027
rna_RPL23AP82,-0.09339396,0.002103248,-0.067102828,0.027299974
rna_RPL27A,0.061266203,0.043921439,0.084565011,0.005378686
rna_RPL29,0.07978078,0.008653631,0.120326287,7.25E-05
rna_RPL31,0.088505178,0.003572611,0.108902848,0.000332251
rna_RPL32,0.061249558,0.043978951,0.063609006,0.036434916
rna_RPL34,0.086443245,0.004434383,0.103641832,0.00063916
rna_RPL39,0.141615639,2.92E-06,0.091824373,0.002499949
rna_RPL4,0.069904865,0.021471451,0.102906772,0.000698716
rna_RPL5,0.071683913,0.018360688,0.097631967,0.001302376
rna_RPL7A,0.072374,0.017264549,0.105805845,0.000490082
rna_RPS13,0.060259324,0.047516624,0.091586581,0.002565685
rna_RPS15A,0.064419031,0.034112759,0.066229096,0.029376384
rna_RPS18,0.099446384,0.001054722,0.126969798,2.81E-05
rna_RPS24,0.10175943,0.000802049,0.077565279,0.01070109
rna_RPS25,0.106318396,0.000459871,0.126946602,2.82E-05
rna_RPS4X,0.101804248,0.00079776,0.120218845,7.36E-05
rna_RPS6,0.09193918,0.002468765,0.107392528,0.000402102
rna_RPS6KB2,-0.104548145,0.000572221,-0.059719067,0.049545461
rna_RPS7,0.076701536,0.011609234,0.08715848,0.004116177
rna_RRAS2,0.085571131,0.004852419,0.088826605,0.003452913
rna_RRBP1,-0.0886897,0.003503442,-0.062573261,0.039598958
rna_RRP12,-0.071748045,0.018256318,-0.076424675,0.011914444
rna_RSBN1,0.108075923,0.000368951,0.074732421,0.013939119
rna_RSBN1L,0.112171775,0.000218024,0.076011141,0.012383558
rna_RSL1D1,0.082374357,0.006706454,0.109179431,0.000320757
rna_RSL24D1,0.061482256,0.04318064,0.101011066,0.000876896
rna_RSU1,0.073016725,0.016295631,0.075176165,0.013380812
rna_RTEL1,-0.074595022,0.014116105,-0.073353255,0.0158076
rna_RUNX1,0.086852998,0.004249464,0.073201822,0.016025594
rna_RWDD2A,-0.086822222,0.004263106,-0.097978737,0.001251254
rna_RXRB,-0.106838041,0.000431021,-0.092110578,0.002422871
rna_RYBP,0.078572439,0.009722256,0.067064852,0.027387523
rna_SAA1,0.127766526,2.50E-05,0.09284577,0.002234728
rna_SAA2,0.116525144,0.000122228,0.089066618,0.003365923
rna_SAE1,-0.099266965,0.001077116,-0.068211678,0.024847888
rna_SAFB2,-0.09239546,0.002348313,-0.089265899,0.003295215
rna_SAMM50,-0.081086551,0.007617843,-0.061442705,0.043315456
rna_SAPS1,-0.084633811,0.005341123,-0.062781204,0.038945676
rna_SAPS2,-0.089580165,0.003186451,-0.06787662,0.025567917
rna_SASS6,0.077376497,0.010894006,0.06082042,0.045483833
rna_SAV1,0.171538785,1.36E-08,0.128629207,2.20E-05
rna_SBDS,0.064130876,0.034923931,0.070943546,0.019603876
rna_SC65,-0.078147941,0.01012466,-0.083039522,0.00627514
rna_SCAF1,-0.105703762,0.000496315,-0.079088727,0.009252069
rna_SCAMP3,-0.11642002,0.000123978,-0.084185929,0.005589958
rna_SCAMP5,-0.063345777,0.037217929,-0.077227932,0.011047988
rna_SCARF2,-0.071967628,0.017902877,-0.082114199,0.006882262
rna_SCARNA9,0.105176984,0.000529673,0.06802152,0.025254349
rna_SCML1,0.111022484,0.000253158,0.060008119,0.048451133
rna_SCML4,0.099244685,0.001079927,0.059759694,0.04939041
rna_SCN1B,-0.07363504,0.01540888,-0.063284049,0.037403603
rna_SCN4A,0.070677934,0.020067446,0.077451563,0.01081693
rna_SCRIB,-0.091336804,0.002636431,-0.063974477,0.035371047
rna_SCYL1,-0.094672901,0.001823589,-0.072859952,0.016527462
rna_SDC3,0.071305246,0.01898764,0.098805646,0.001136725
rna_SDF4,-0.097803015,0.001276924,-0.066277412,0.029258118
rna_SDHA,-0.113839786,0.000175083,-0.078348511,0.009932719
rna_SDHD,0.078701018,0.009603211,0.080758761,0.007866856
rna_SEC22A,-0.077256795,0.011017922,-0.061562902,0.042906839
rna_SEC23B,-0.079658927,0.008756426,-0.063210549,0.037625714
rna_SEC61A1,-0.103971026,0.000614047,-0.08852147,0.003566454
rna_SECISBP2,-0.081416435,0.007374387,-0.081167851,0.007557185
rna_SEH1L,0.084904803,0.00519546,0.086304271,0.004498736
rna_SELE,0.123680467,4.52E-05,0.120933427,6.66E-05
rna_SELL,0.11586243,0.000133659,0.091875313,0.002486068
rna_SELO,-0.092473445,0.002328272,-0.068896114,0.023431393
rna_SELP,0.117929748,0.000100972,0.065978438,0.029996561
rna_SERTAD2,0.109058708,0.000325728,0.062109312,0.041090061
rna_SESN2,-0.096401251,0.001499751,-0.08323764,0.006151584
rna_SET,0.076531324,0.011796043,0.07849652,0.009793161
rna_SETD2,0.079082771,0.009257376,0.059973177,0.048582334
rna_SF3B2,-0.0830458,0.006271191,-0.062759392,0.039013768
rna_SF3B5,-0.081058861,0.007638602,-0.064757822,0.033179664
rna_SFRS13A,0.067368146,0.026695026,0.06403867,0.035186943
rna_SFT2D3,0.088000186,0.003768296,0.069981182,0.021329149
rna_SGSM2,-0.066116296,0.029654097,-0.089243976,0.003302927
rna_SGSM3,-0.103837574,0.000624115,-0.092271916,0.002380385
rna_SH2D2A,0.070315923,0.020714626,0.063610978,0.036429103
rna_SH2D4A,-0.061572285,0.042875076,-0.077197664,0.011079596
rna_SH2D4B,0.069077543,0.023067856,0.075308651,0.013217992
rna_SH3BP5,0.116701674,0.000119342,0.075496998,0.012989534
rna_SH3BP5L,-0.078681165,0.009621508,-0.060939328,0.045062573
rna_SH3GLB1,0.108241052,0.000361333,0.098405901,0.001190825
rna_SHISA4,-0.092381952,0.0023518,-0.086975507,0.004195549
rna_SHKBP1,-0.090737542,0.002813483,-0.084974025,0.005158831
rna_SHMT2,-0.108948625,0.000330322,-0.075454725,0.013040504
rna_SIAH1,0.064512172,0.033854023,0.061287019,0.043849601
rna_SIGLEC1,-0.083158809,0.006200482,-0.060837401,0.045423473
rna_SIGLEC7,-0.073869962,0.015083256,-0.061985499,0.041495923
rna_SIGLEC9,-0.070890507,0.01969569,-0.067898489,0.025520378
rna_SIL1,-0.087245184,0.004079043,-0.06989701,0.021486145
rna_SIPA1L3,-0.081743711,0.007139767,-0.096555244,0.001473631
rna_SIRT1,0.095868884,0.001593368,0.076312168,0.012040488
rna_SKIV2L,-0.105474756,0.000510569,-0.138929534,4.50E-06
rna_SKP1,-0.065810777,0.03041763,-0.081988611,0.006968602
rna_SLC10A6,0.082435461,0.00666575,0.075649782,0.012806782
rna_SLC16A3,-0.116565435,0.000121563,-0.078090947,0.0101798
rna_SLC16A9,0.074035415,0.01485757,0.062362509,0.040270519
rna_SLC25A11,-0.10366398,0.00063744,-0.093656267,0.002042876
rna_SLC25A12,0.08511361,0.005085677,0.077844164,0.010421648
rna_SLC25A24,0.068080694,0.025127255,0.061538091,0.042990919
rna_SLC25A4,-0.084479288,0.005425822,-0.094845689,0.001788542
rna_SLC26A6,-0.11280878,0.000200575,-0.074657437,0.014035463
rna_SLC26A9,0.083861973,0.005776401,0.080761362,0.007864851
rna_SLC2A11,-0.091966051,0.002461518,-0.071192173,0.019178443
rna_SLC2A1,-0.073606247,0.015449213,-0.07752972,0.010737194
rna_SLC2A4,0.088135056,0.003715103,0.06255919,0.039643497
rna_SLC35A2,-0.107656599,0.000388976,-0.067136781,0.027221905
rna_SLC37A2,-0.085832056,0.004723762,-0.080582541,0.008003712
rna_SLC37A3,0.071596588,0.018503642,0.081383612,0.007398294
rna_SLC38A10,-0.099521081,0.001045527,-0.114117018,0.000168766
rna_SLC39A13,-0.090583911,0.002860587,-0.08290293,0.00636162
rna_SLC39A7,-0.164891949,4.90E-08,-0.148313187,9.58E-07
rna_SLC40A1,0.088322255,0.003642402,0.067410465,0.026599613
rna_SLC46A1,-0.063260946,0.037473299,-0.080296331,0.00823053
rna_SLC5A6,0.080778141,0.007851932,0.090988682,0.002738004
rna_SLC6A1,-0.07341104,0.015725105,-0.089339661,0.003269388
rna_SLC7A3,0.15509788,2.95E-07,0.067481347,0.026440457
cna_ACAP3,0.064258496,0.035582567,0.063459937,0.037940716
cna_ACTRT2,0.064258496,0.035582567,0.063459937,0.037940716
cna_AGRN,0.064258496,0.035582567,0.063459937,0.037940716
cna_ANKRD65,0.064258496,0.035582567,0.063459937,0.037940716
cna_ATAD3A,0.064258496,0.035582567,0.063459937,0.037940716
cna_ATAD3B,0.064258496,0.035582567,0.063459937,0.037940716
cna_ATAD3C,0.064258496,0.035582567,0.063459937,0.037940716
cna_AURKAIP1,0.064258496,0.035582567,0.063459937,0.037940716
cna_B3GALT6,0.064258496,0.035582567,0.063459937,0.037940716
cna_C1orf159,0.064258496,0.035582567,0.063459937,0.037940716
cna_C1orf233,0.064258496,0.035582567,0.063459937,0.037940716
cna_C1orf86,0.064258496,0.035582567,0.063459937,0.037940716
cna_CALML6,0.064258496,0.035582567,0.063459937,0.037940716
cna_CCNL2,0.064258496,0.035582567,0.063459937,0.037940716
cna_CDK11A,0.064258496,0.035582567,0.063459937,0.037940716
cna_CDK11B,0.064258496,0.035582567,0.063459937,0.037940716
cna_CPSF3L,0.064258496,0.035582567,0.063459937,0.037940716
cna_DDX11L1,0.064258496,0.035582567,0.063459937,0.037940716
cna_DVL1,0.064258496,0.035582567,0.063459937,0.037940716
cna_FAM132A,0.064258496,0.035582567,0.063459937,0.037940716
cna_FAM138A,0.064258496,0.035582567,0.063459937,0.037940716
cna_FAM213B,0.064258496,0.035582567,0.063459937,0.037940716
cna_FAM41C,0.064258496,0.035582567,0.063459937,0.037940716
cna_FAM87B,0.064258496,0.035582567,0.063459937,0.037940716
cna_GABRD,0.064258496,0.035582567,0.063459937,0.037940716
cna_GLTPD1,0.064258496,0.035582567,0.063459937,0.037940716
cna_GNB1,0.064258496,0.035582567,0.063459937,0.037940716
cna_HES4,0.064258496,0.035582567,0.063459937,0.037940716
cna_HES5,0.064258496,0.035582567,0.063459937,0.037940716
cna_ISG15,0.064258496,0.035582567,0.063459937,0.037940716
cna_KIAA1751,0.064258496,0.035582567,0.063459937,0.037940716
cna_KLHL17,0.064258496,0.035582567,0.063459937,0.037940716
cna_LINC00115,0.064258496,0.035582567,0.063459937,0.037940716
cna_LINC00982,0.064258496,0.035582567,0.063459937,0.037940716
cna_LINC01128,0.064258496,0.035582567,0.063459937,0.037940716
cna_LOC100129534,0.064258496,0.035582567,0.063459937,0.037940716
cna_LINC02593,0.064258496,0.035582567,0.063459937,0.037940716
cna_LOC100133331|chr1,0.064258496,0.035582567,0.063459937,0.037940716
cna_LOC100133445,0.064258496,0.035582567,0.063459937,0.037940716
cna_LOC100288069,0.064258496,0.035582567,0.063459937,0.037940716
cna_TNFRSF14-AS1,0.064258496,0.035582567,0.063459937,0.037940716
